,Iteration,AdaBoost Test Accuracy,AdaBoost Train Accuracy,Stump Test Accuracy,Stump Train Accuracy
453,454,0.8924,0.8972,13.84,13.62
454,455,0.8924,0.8972,87.52,88.08
455,456,0.8924,0.8972,28.12,27.1
456,457,0.8924,0.8972,61.22,62.58
457,458,0.8924,0.8972,39.24,38.02
458,459,0.8924,0.8972,61.82,63.0
459,460,0.8924,0.8972,12.94,12.52
460,461,0.8924,0.8972,64.62,65.26
461,462,0.8924,0.8972,61.46,61.9
462,463,0.8924,0.8972,41.78,41.36
463,464,0.8924,0.8972,58.68,59.24
464,465,0.8924,0.8972,41.78,41.36
465,466,0.8924,0.8972,13.84,13.62
466,467,0.8924,0.8972,87.52,88.08
467,468,0.8924,0.8972,13.76,13.5
468,469,0.8924,0.8972,69.12,68.76
469,470,0.8924,0.8972,15.36,14.98
470,471,0.8924,0.8972,87.52,88.08
471,472,0.8924,0.8972,30.52,30.86
472,473,0.8924,0.8972,61.42,61.8
473,474,0.8924,0.8972,39.04,38.8
474,475,0.8924,0.8972,61.42,61.8
475,476,0.8924,0.8972,13.84,13.62
476,477,0.8924,0.8972,87.52,88.08
477,478,0.8924,0.8972,24.24,23.12
478,479,0.8924,0.8972,73.48,74.92
479,480,0.8924,0.8972,36.4,36.12
480,481,0.8924,0.8972,64.06,64.48
481,482,0.8924,0.8972,26.16,26.28
482,483,0.8924,0.8972,87.52,88.08
483,484,0.8924,0.8972,18.32,18.16
484,485,0.8924,0.8972,72.6,72.46
485,486,0.8924,0.8972,30.2,30.74
486,487,0.8924,0.8972,71.08,70.84
487,488,0.8924,0.8972,41.58,42.86
488,489,0.8924,0.8972,58.88,57.74
489,490,0.8924,0.8972,27.04,27.16
490,491,0.8924,0.8972,73.42,73.44
491,492,0.8924,0.8972,41.58,42.86
492,493,0.8924,0.8972,58.88,57.74
493,494,0.8924,0.8972,27.04,27.16
494,495,0.8924,0.8972,13.84,13.62
495,496,0.8924,0.8972,87.52,88.08
496,497,0.8924,0.8972,36.0,36.16
497,498,0.8924,0.8972,24.56,24.82
498,499,0.8924,0.8972,85.18,85.48
499,500,0.8924,0.8972,40.96,40.64
