,Iteration,Test,Train
308,309,0.7206666666666667,0.8594583333333333
309,310,0.722,0.8592083333333334
310,311,0.7213333333333334,0.8593333333333333
311,312,0.7223333333333334,0.8594583333333333
312,313,0.7216666666666667,0.8595833333333334
313,314,0.7223333333333334,0.8595833333333334
314,315,0.7215,0.8594583333333333
315,316,0.7221666666666666,0.8593333333333333
316,317,0.7216666666666667,0.8595
317,318,0.7223333333333334,0.8595
318,319,0.7208333333333333,0.8597083333333333
319,320,0.7218333333333333,0.8594583333333333
320,321,0.721,0.859375
321,322,0.7213333333333334,0.8591666666666666
322,323,0.7208333333333333,0.8594583333333333
323,324,0.7218333333333333,0.8591666666666666
324,325,0.7215,0.859375
325,326,0.7225,0.8589583333333334
326,327,0.7216666666666667,0.8591666666666666
327,328,0.722,0.8591666666666666
328,329,0.722,0.8594166666666667
329,330,0.7226666666666667,0.8592083333333334
330,331,0.7215,0.8592916666666667
331,332,0.722,0.8592083333333334
332,333,0.7203333333333334,0.8596666666666667
333,334,0.7221666666666666,0.8594583333333333
334,335,0.7211666666666666,0.8597083333333333
335,336,0.7216666666666667,0.859375
336,337,0.721,0.859625
337,338,0.7216666666666667,0.8595416666666666
338,339,0.7208333333333333,0.859625
339,340,0.7223333333333334,0.8595416666666666
340,341,0.7221666666666666,0.8595
341,342,0.7223333333333334,0.8593333333333333
342,343,0.722,0.8595
343,344,0.7225,0.8593333333333333
344,345,0.7208333333333333,0.8597083333333333
345,346,0.721,0.859625
346,347,0.7208333333333333,0.8596666666666667
347,348,0.7211666666666666,0.8596666666666667
348,349,0.7208333333333333,0.8596666666666667
349,350,0.721,0.8596666666666667
350,351,0.7205,0.8598333333333333
351,352,0.7208333333333333,0.8595833333333334
352,353,0.7206666666666667,0.8595833333333334
353,354,0.721,0.8592916666666667
354,355,0.7205,0.8594166666666667
355,356,0.7208333333333333,0.8592083333333334
356,357,0.7205,0.8592916666666667
357,358,0.7205,0.8592083333333334
358,359,0.7205,0.8590833333333333
359,360,0.721,0.8592916666666667
360,361,0.7205,0.859125
361,362,0.7208333333333333,0.8591666666666666
362,363,0.7206666666666667,0.8592916666666667
363,364,0.7211666666666666,0.8592083333333334
364,365,0.7206666666666667,0.8592916666666667
365,366,0.7211666666666666,0.859375
366,367,0.7208333333333333,0.8594583333333333
367,368,0.721,0.85925
368,369,0.721,0.859625
369,370,0.7211666666666666,0.859375
370,371,0.7213333333333334,0.8595
371,372,0.7215,0.859375
372,373,0.7208333333333333,0.8594583333333333
373,374,0.7206666666666667,0.8594166666666667
374,375,0.7203333333333334,0.8595833333333334
375,376,0.7208333333333333,0.859375
376,377,0.7206666666666667,0.8595833333333334
377,378,0.721,0.8595416666666666
378,379,0.721,0.8595416666666666
379,380,0.721,0.8594583333333333
380,381,0.7208333333333333,0.8595416666666666
381,382,0.7211666666666666,0.859625
382,383,0.721,0.8597083333333333
383,384,0.7211666666666666,0.859625
384,385,0.7203333333333334,0.8597083333333333
385,386,0.721,0.8595416666666666
386,387,0.7206666666666667,0.859625
387,388,0.7211666666666666,0.8598333333333333
388,389,0.7206666666666667,0.8595833333333334
389,390,0.7208333333333333,0.859625
390,391,0.7203333333333334,0.85975
391,392,0.7206666666666667,0.8595833333333334
392,393,0.72,0.859625
393,394,0.7205,0.859625
394,395,0.7203333333333334,0.8595416666666666
395,396,0.7208333333333333,0.8595833333333334
396,397,0.7206666666666667,0.859875
397,398,0.7215,0.8595833333333334
398,399,0.7205,0.8597083333333333
399,400,0.7206666666666667,0.8595833333333334
400,401,0.7203333333333334,0.8598333333333333
401,402,0.7213333333333334,0.8597916666666666
402,403,0.721,0.8597083333333333
403,404,0.721,0.8597083333333333
404,405,0.7208333333333333,0.8598333333333333
405,406,0.7206666666666667,0.8598333333333333
406,407,0.7203333333333334,0.8597916666666666
407,408,0.7208333333333333,0.859875
408,409,0.7206666666666667,0.8599583333333334
409,410,0.7208333333333333,0.859875
410,411,0.7205,0.8597083333333333
411,412,0.7213333333333334,0.8596666666666667
412,413,0.7205,0.8597083333333333
413,414,0.721,0.8597083333333333
414,415,0.7203333333333334,0.8598333333333333
415,416,0.7206666666666667,0.8598333333333333
416,417,0.7208333333333333,0.86
417,418,0.7211666666666666,0.859875
418,419,0.7206666666666667,0.86
419,420,0.7213333333333334,0.8600416666666667
420,421,0.7206666666666667,0.8598333333333333
421,422,0.7211666666666666,0.8599166666666667
422,423,0.7203333333333334,0.8597083333333333
423,424,0.7203333333333334,0.85975
424,425,0.7201666666666666,0.8597916666666666
425,426,0.7203333333333334,0.859875
426,427,0.7203333333333334,0.8599166666666667
427,428,0.7203333333333334,0.8599166666666667
428,429,0.7203333333333334,0.8599166666666667
429,430,0.7205,0.8597916666666666
430,431,0.7205,0.85975
431,432,0.7205,0.8597083333333333
432,433,0.7203333333333334,0.8596666666666667
433,434,0.7206666666666667,0.85975
434,435,0.7206666666666667,0.8599166666666667
435,436,0.7208333333333333,0.8600833333333333
436,437,0.7206666666666667,0.860125
437,438,0.721,0.8599166666666667
438,439,0.7208333333333333,0.8599583333333334
439,440,0.7211666666666666,0.8599166666666667
440,441,0.7206666666666667,0.8600833333333333
441,442,0.7211666666666666,0.8597916666666666
442,443,0.7206666666666667,0.86
443,444,0.7206666666666667,0.8601666666666666
444,445,0.7206666666666667,0.8600416666666667
445,446,0.721,0.860125
446,447,0.7205,0.86
447,448,0.721,0.8600416666666667
448,449,0.7206666666666667,0.860125
449,450,0.721,0.8600833333333333
450,451,0.7208333333333333,0.8602083333333334
451,452,0.7208333333333333,0.86
452,453,0.7206666666666667,0.860125
453,454,0.7208333333333333,0.8602916666666667
454,455,0.7205,0.8601666666666666
455,456,0.7203333333333334,0.8600416666666667
456,457,0.7201666666666666,0.8602083333333334
457,458,0.7203333333333334,0.860375
458,459,0.7201666666666666,0.8604166666666667
459,460,0.7198333333333333,0.8603333333333333
460,461,0.72,0.860375
461,462,0.7201666666666666,0.8601666666666666
462,463,0.7203333333333334,0.8604583333333333
463,464,0.72,0.8602916666666667
464,465,0.7198333333333333,0.860375
465,466,0.72,0.8601666666666666
466,467,0.7198333333333333,0.860375
467,468,0.72,0.8601666666666666
468,469,0.72,0.860375
469,470,0.72,0.8604583333333333
470,471,0.7196666666666667,0.8604166666666667
471,472,0.72,0.8605416666666666
472,473,0.7198333333333333,0.8604583333333333
473,474,0.7203333333333334,0.8603333333333333
474,475,0.72,0.8605416666666666
475,476,0.7203333333333334,0.8604583333333333
476,477,0.7201666666666666,0.8602916666666667
477,478,0.7201666666666666,0.860375
478,479,0.72,0.860375
479,480,0.7198333333333333,0.86025
480,481,0.7196666666666667,0.8603333333333333
481,482,0.7198333333333333,0.8602083333333334
482,483,0.7195,0.8603333333333333
483,484,0.7198333333333333,0.8602083333333334
484,485,0.7195,0.86025
485,486,0.7195,0.8600416666666667
486,487,0.7191666666666666,0.8602083333333334
487,488,0.7193333333333334,0.8600416666666667
488,489,0.7188333333333333,0.86025
489,490,0.7193333333333334,0.8600833333333333
490,491,0.7186666666666667,0.8600833333333333
491,492,0.7191666666666666,0.8599166666666667
492,493,0.719,0.8600416666666667
493,494,0.7196666666666667,0.860125
494,495,0.7193333333333334,0.8602083333333334
495,496,0.7198333333333333,0.8600416666666667
496,497,0.7195,0.8601666666666666
497,498,0.7196666666666667,0.8601666666666666
498,499,0.7195,0.8600833333333333
499,500,0.7198333333333333,0.8602083333333334
